complaint_id,facility_id,facility_type,incident_date,notes,severity,fine,Facility Invest Results Abuse,Facility Invest Results Rule,Type Of Abuse
OT105179A,385008,NF,8/31/2010,"RV reported asking staff to change him/her prior to transport to a medical appointment, but the transfer occurred before staff changed RV.  RV reported staff did not have the specific adaptive device to prevent the incontinence.  W1 reported the device was moved to another location in RV's room and staff were unable to locate the device.  RV reported being embarrassed and humiliated by having a ""wet crotch"".  RV's care plan was not followed.  RV was not afforded all due respect and dignity.  Staff are encouraging RV to make his/her feelings known to RP staff and facility administration.",2,0,Not Substantiated,Substantiated,
OT105179B,385008,NF,8/31/2010,"RV reported staff answered his/her call light, but failed to return before RV experienced bowel incontinence.  RV reported feeling embarrassed and humiliated.  RV was uncertain if the bowel movement came in a short period of time.  Record review found RV receiving a 3 day intervention treatment for bowel care per RV's own request.  Staff failed to return in a timely manner to assist RV to the bathroom.",2,0,Not Substantiated,Substantiated,
OT105179C,385008,NF,8/31/2010,"RV reported an unknown ""not RV's regular staff"" failed to provide RV's anti-anxiety medication in a timely manner and ""taunted"" RV at the time the medication was provided.  Record review revealed RV received the medication twice on 8/20/10, once on 8/21/10 and again on 8/23/10 with good results.  Staff unfamiliar with RV delayed delivery of RV's anti-anxiety medication.  Evidence fails to support the alleged ""mocking"" or ""taunting"".  Staff are encouraging RV to report his/her concerns.",2,0,Not Substantiated,Substantiated,
OR0000656000,385008,NF,12/21/2010,"Resident 1 was admitted with multiple diagnoses including a left below knee amputation (LBKA) and a right partial foot amputation.  Resident 1's MDS of 11-10-10 revealed Resident 1 required extensive 2 person assistance with transfers.  Resident 1's bedside information sheet dated 11/5/10 noted the ""maximum"" for assistance.  Staff 7 failed to hold Resident 1's gait belt during a transfer and Resident 1 fell opening the LBKA suture line.  Resident 1 required hospitalization and surgical revision.  Staff 7 reported Resident 1's gait belt was not accessible due to the walker and wheel chair being in the way.  Resident 1's care plan was revised to use a two person assist at all times with staff holding the gait belt.  All staff received further in-service.  Relevant portions of the survey are attached.  A federal civil penalty was proposed.",3,0,Substantiated,Substantiated,Neglect
OT105397,385008,NF,9/17/2010,"RV was admitted 9/17/10 with multiple diagnoses, physician orders including therapy services and critical medication for blood thinners.  RV did not receive anti-coagulants for lab work as ordered from 9/17/10 through 9/24/10.  Although RV did not sustain a noted negative outcome, RV was at risk for developing blood clots.  The facility instituted change in policy and procedure to prevent a similar future event.",2,0,Not Substantiated,Substantiated,
OT129247,385008,NF,2/6/2012,"RV reported RP2 told RV he/she would take call light away if RV pushed the call button again.  RV reported RP2 would turn call light off and return later.  W1 reported earlier in the month RP2 became ""frustrated, and abrasive when lack of timely response"" was pointed out.  W1 reported evenings are busy "" staffing may be an issue"".  W3 reported RV is hard of hearing and may need additional time to process what is said.   RP2 denied telling RV RP2 would take call light away.  RP2 did turn the call light off and finish the requested task later.  RP2 reported W3 counseled RP2 that RP2 may need to slow down.  The facility failure to respond to RV's request in reasonable length of time represents a Oregon Administrative Rule violation.",2,0,Not Substantiated,Substantiated,
OR0000757100,385008,NF,4/18/2012,"Resident 8's 4/20/2012 PRN MAR revealed no Tramadol was used from 4/12/2012 to 4/13/2012.  Resident 8 received Tramadol on 4/14 & 15/2012 for right thigh pain, right hip pain, lower right extremity pain and lower back pain.  Resident 8 was sent to the hospital on 4/15/2012 for evaluation and found to have a right hip fracture of unknown origin.  The facility investigation found it unlikely the resident sustained an unreported fall due to the amount of assistance it would have taken to lift resident from the floor.  The investigation failed to identify any staff interviews or if the resident care plan required a change.  Relevant portions of the survey are attached.  There was proposed enforcement action.  The facility failure was identified as an Oregon Administrative Rule violation.",2,0,Not Substantiated,Substantiated,
OT150737,385008,NF,10/13/2012,"The facility failed to ensure adequate staff instruction/supervision regarding use of hot packs; specifically parameters of use for residents and identifying staff professionals allowed to use the hot pack.  RP2 (a licensed nurse) instructed W5(C.N.A.) to place a hot pack to RV's shoulder area.  W5 acted outside his/her scope of practice and RP2 failed to have the authority in this facility setting to delegate to W5.   RV sustained a second degree burn to the area in which the hot pack was applied.  Facility failure to provide adequate policy and procedure; and staff instruction regarding hot packs resulting in neglect of care and resident harm constitutes abuse.  A Civil Penalty in the amount of $ 400.00 would be imposed.  Due to the date between the investigation report and date of delivery of the report for review, no sanction will be imposed. The finding of abuse will stand in the facility history.   Oregon Administrative Rule violations occurred.",3,,Substantiated,Substantiated,Neglect
OT120442,385008,NF,6/18/2012,"RV choked on meat not thoroughly pureed as RV's physician ordered.  RP2 believed the meat was pureed, but the method used to check the consistency of the meat was inadequate.  RP2 was counseled and the process to ensure food is of adequate texture was changed.  The facility failure resulting in harm and even great potential harm constitutes neglect and abuse.  A civil monetary penalty will not be issued as the investigation report was submitted three years after the investigation was completed.  The investigation will be part of the facility's history.  Oregon Administrative Rule violations occurred.",2,,Substantiated,Substantiated,Neglect
BC116216,385010,NF,12/30/2010,"RV reported someone, unknown staff or hospice, pulled RV up in bed causing pain.  RV did sustain a bruise of unknown origin.  RV does have a history flailing and banging against side rails at times, but W5 stated this behavior had stopped.  RV's care plan addressed transfer assist and weekly skin checks due to fragile skin.  Initially RV was not care planned for gait belt transfers.",2,0,Not Substantiated,Substantiated,
OR0000685900,385010,NF,4/27/2011,"Resident 1 was admitted with multiple diagnoses including CVA, right sided hemiplegia, aphasia, CHF, cognitive impairment, etc.  Resident 1 was dependent for all ADLs and was non-ambulatory, but would wheel his/her wheel chair using his/her left arm.  Resident 1 was assessed at risk for falls.  Resident 1 fell 12/8/10 & 3/25/11 with his/her care plan revised to include non slide pad in the wheel chair, bed side alarms and floor pads.  At the time of Resident 1's fall from his/her wheel chair (4/25/11) the wheel chair foot rests had been removed.  After the fact staff reported the wheel chair with out the foot rests would have made Resident 1's balance less stable.  Staff 4 reported the foot rests were removed at Resident 1's request and Resident 1's feet were dangling without the foot rests.  The charge nurse was not notified of Resident 1's preference to have the foot rests removed.  At the time of the fall Resident 1 was left alone in the wheel chair.  Resident 1 fell and sustained injury including a later identified hip fracture.  Relevant portions of the survey are attached.  A federal civil penalty was proposed.",3,0,Substantiated,Substantiated,Neglect
OR0000685901,385010,NF,4/27/2011,"Staff failed to adequately assess and document the health status of Resident 1 who experienced a change of condition including a fractured hip with on going pain.  Resident 1's assessment following the 4/25/11 fall did not include assessment of Resident 1's ROM (range of motion) of his/her extremities or assessment for other indication of extremity injury.  Staff 7 documented Resident 1's complaint of pain and continued complaint of right hip pain on 4/26/11, but failed to request an x-ray until later in the day.  Resident 1 was transferred to the hospital at 7:10 P.M.  Relevant portions of the survey are attached.  A federal civil penalty was proposed.",3,0,Substantiated,Substantiated,Neglect
OR0000685902,385010,NF,4/27/2011,Resident 1 fell on 4/25/11 at approximately 8:45 P.M.  Staff failed to promptly notify family members of the fall.  Family was notified of the fall at 8:25 A.M. on 4/26/11.  Relevant portions of the survey are attached.,2,0,Not Substantiated,Substantiated,
BC117884,385010,NF,7/18/2011,"Facility staff failed to verify if a physician ordered lab work (drawn 7/13/2011) was completed prior to reordering the same test (drawn 7/18/2011).  RV sustained an unnecessary second blood draw, emotional distress, physical discomfort/pain and sustained a ""grossly"" discolored forearm where the blood draw was completed.  The incident would have been prevented had staff double checked physician orders, verified if the original ordered lab work had been drawn and had listened to the RV.  The facility changed the policy following this event to include the RCM must double check the physician orders.",3,200,Substantiated,Substantiated,Neglect
BC117864,385010,NF,8/29/2011,"RP2 failed to honor RV's choice in care; and failed to back away from RV's care resulting in RV's increased agitation,  striking out and ultimately sustaining injury to RV's wrists.  W3 entered RV's room after hearing shouting, found RV ""clutching"" his/'her wrist and saying it ""hurts.""  W3 reported  noting discoloration of ""the area.""     RP2 reported he/she was attempting to ""block"" RV's blows. RP2 wrote a statement on 8/29/2011 that I ""hold"" RV's ""hand cuz"" RV was almost hitting me and I told RV don't hit me. During an informal conference held on 1/31/2012, RP2 provided further clarification, stating she/he blocked RV's blows, but held RV's hands as RV was attempting to transfer and was unsteady.  RP2 reported RV had refused use of the gait belt once and was attempting a second unsteady transfer. W2 reported staff is aware of a universal protocol to leave an agitated resident and re-approach. RP2 acknowledged he/she should have left RV when RV was agitated, but was afraid RV would fall.",2,0,Not Substantiated,Substantiated,Neglect
BC146085B,385010,NF,12/28/2013,"RV reported being happy with his/her care.  W1 reported the facility has a new medication tracking system; the physician changed RV's medication, but the system did not make the changes; and a medication error occurred.  The error was discovered and RP2 change the medication in the system without fully clarifying the physician order.  RV's physician said an error really did not occur and RV was fine.  RV did not sustain harm.  An Oregon Administrative Rule violation occurred.",2,,Not Substantiated,Substantiated,
BC152889,385010,NF,9/20/2015,"Evidence and interviews indicated facility failure to adequately plan Resident #1_x001A_s discharge from the facility and denial to readmit Resident #1 on or about 9/20/2015. Progress notes indicated Resident #1 was discharged with an infection to her/his leg and she/he was unable to wear a prosthetic because of the infection. Witness #2 indicated Resident #1 was assisted home to her/his second floor apartment where she/he subsequently fell and spent the night sleeping on the floor.

According to witness #6 (facility staff), Resident #1 asked to return to the facility on or about 9/20/2015 and witness #6 said Resident #1 could not return to the facility once she/he had been discharged. On 9/21/2015, Resident #1 was transported to the emergency department (ED) of the hospital and sent back home. Documentation indicated Resident #1 was transported back to the hospital ED on 9/22/2015. Resident #1 remained in the hospital ED until 10/6/2015 when admitted to a different nursing facility.",3,800,Not Substantiated,Substantiated,
BC116277,385015,NF,1/6/2011,"Staff failed to follow RV's wound care orders on 1/01 & 02/2011.  Facility nurses thought it was ""their duty"" to ""go along"" with family wishes for RV's care per W1.  Staff followed ""old"" wound care orders and RV did not sustain harm per W1.  W2 reported RV's care plan does not mention a guardian or Healthcare POA.  RV is unable to respond to questions due to his/her medical condition.  The facility has changed it's policy as a result of this incident.",2,0,Not Substantiated,Substantiated,
BC116904,385015,NF,4/30/2011,"W1 overheard RP2 ""yelling"" at RV,""if you don't stop I am going to spank you"".  RV showed no sign of physical trauma.  RP2 left RV's room at W1's direction.  RP2 was prohibited from providing care to RV the rest of the shift.  RP2 reported talking to self while providing care to RV, ""if you were my child I would spank you.""   RP2 failed to treat RV with all due respect by talking to self in what could have been an intimidating manner to RV.  RP2 reported the facility protocol is to re-approach a resistive resident, but RP2 failed to follow the protocol or inform the charge nurse of RV's behaviors.  RP2 failed to follow RV's care plan to approach RV in a calm manner.  RV was upset and combative after the incident.",2,0,Not Substantiated,Substantiated,
BC118020A,385015,NF,9/16/2011,"RP2 took photographs of RV1, RV2 and RV3 without their permission.  RP2 posted the pictures to face book without RV1, RV2 or RV3's permission.  The photographs which included RV1, RV2 and RV3 in various poses of undress and or very poor grooming were accompanied by written deleterious comments.  RV2 and RV3 expressed embarrassment and or concern that their pictures were out on the internet.  While RV1 was unable to give relevant information, a reasonable person would consider RP2's actions offensive.  RV1, RV2 and RV3 sustained significant loss of dignity due to RP2's actions.",2,0,Not Substantiated,Substantiated,Neglect
BC118020B,385015,NF,9/16/2011,"While photographs were taken and displayed of RV1's gown tied in a knot about RV1' briefs, evidence is insufficient to support who may have tied the gown about the briefs.  Evidence is insufficient to support facility failure to prevent RV1 from use of physical restraint.  Evidence does support failure to follow RV1's care plan use of a onesie or lap buddy to deter RV's touching him/herself while out in a public place and during the time the photographs were taken..",2,0,Not Substantiated,Substantiated,
OR0000713700,385015,NF,9/7/2011,"Resident 1 was admitted 2/28/2011 with multiple diagnoses.  On 3/15/2011 resident's physician ordered an anti hypertensive medication to be given three times per day with specific parameters for giving the medication.  On 9/6/2011 Staff 2 (RP2) gave the anti hypertensive medication without following the parameters or checking the MAR to see if the medication was already given; went by what the resident said.  Resident 1 had received the anti hypertensive medication less than an hour before Staff 2 administered the medication.  Resident's physician was notified, resident was monitored and sent to the ER when his/her pulse rate dropped.  The facility reported Staff 2 to OSBN, provided further  education and began supervision of Staff 2 when Staff 2 gave any oral medication.   Relevant portions of the survey are attached.  The facility failure represents an Oregon Administrative Rule violation.",2,0,Not Substantiated,Substantiated,
BC129333,385015,NF,1/3/2012,"RP2 requested W1 to hold RV's arm while administering an injection.  RP2 reported always being careful regarding RV's care; asking which finger to use for CBG and where RV wanted the injection.  RP2 does not recall this particular event, but RV requested wanting to ask a question prior to receiving care and was upset.  W1 held RV's arm at the direction of RP2 who was W1's supervisor.  While some residents are care planned to have their arm held during an injection; RV was not.  RP2 failed to give RV all due respect during his/her care resulting in a violation of resident rights.   This failure is a violation of Oregon Administrative Rules.",2,0,Not Substantiated,Substantiated,
OR0000751802,385015,NF,3/26/2012,"Resident 1 was admitted the facility with medication orders and specific physician orders not to use incontinence briefs.  Resident orders were followed except placement of a incontinence brief  3/25/2012 night shift.  Staff1 reported placing the brief post bowel care having forgotten staff were not to place a brief.  Staff 2 also placed a new brief on day shift prior to reviewing resident 's care plan.  Staff 3 reported the redness on Resident 1's right buttocks was excoriation; no bleeding or rash  found.  The facility failure to follow resident's care plan represents a Oregon Administrative Rule violation as well as, a federal deficiency.  Relevant portions of the survey are attached.  Enforcement  action was proposed.",2,0,Not Substantiated,Substantiated,
OR0000763800,385015,NF,5/24/2012,"Resident 1 was admitted to the facility April 2012 with multiple diagnoses.  Resident 's physician orders included CBG and notifying the physician with certain parameters for the CBGs.  On 5/23/2012 Resident 1 received another resident's medication, staff notified the physician, monitored the resident and notified the  physician of there resident's change of condition.  Resident 1 was sent for further evaluation.  The facility failed to ensure Resident 1 received medication according to physician orders.  Relevant portions of the survey are attached.  Enforcement action was proposed.",2,0,Not Substantiated,Substantiated,
